Ind1,Ind2,R,LnL(R),,U,HS,FS,PO
F26_KNP,F13_KNP,U,-53.48,,-,0.43,4.41,9999
F26_KNP,F14_KNP,HS,-51.04,,0.92,-,2.99,9999
F26_KNP,F15_KNP,U,-56.23,,-,0.66,3.4,9999
F26_KNP,F16_KNP,U,-47.46,,-,2.96,7.41,9999
F26_KNP,F17_KNP,U,-59.43,,-,0.64,5.04,9999
F26_KNP,F18_KNP,U,-58,,-,1.95,4.92,9999
F26_KNP,F19_KNP,U,-53.74,,-,1.49,5.57,9999
F26_KNP,F20_KNP,U,-54.45,,-,0.62,3.77,9999
F26_KNP,F21_KNP,U,-53.89,,-,1.31,5.41,9999
F26_KNP,F22_KNP,HS,-54.48,,1.68,-,0.8,9999
F26_KNP,F23_KNP,U,-51.99,,-,0.65,4.8,9999
F26_KNP,F24_KNP,HS,-60.82,,0.66,-,2.46,9999
F26_KNP,F25_KNP,U,-49.32,,-,2.85,7.13,9999
F27_KNP,F13_KNP,PO,-43.66,,1.83,0.53,2.36,-
F27_KNP,F14_KNP,HS,-42.24,,1.72,-,0.01,9999
F27_KNP,F15_KNP,HS,-48.21,,0.02,-,3.22,9999
F27_KNP,F16_KNP,U,-39.47,,-,0.94,2.02,9999
F27_KNP,F17_KNP,U,-51.44,,-,1.02,5.12,9999
F27_KNP,F18_KNP,HS,-48.63,,1.37,-,0.19,9999
F27_KNP,F19_KNP,HS,-45.22,,0.52,-,1.87,9999
F27_KNP,F20_KNP,U,-46.46,,-,2.79,7.45,9999
F27_KNP,F21_KNP,HS,-45.76,,0.14,-,0.95,9999
F27_KNP,F22_KNP,HS,-47.99,,0.17,-,3.69,9999
F27_KNP,F23_KNP,U,-44,,-,0,0.61,9999
F27_KNP,F24_KNP,U,-53.48,,-,3.55,9.47,9999
F27_KNP,F25_KNP,U,-41.33,,-,1.47,4.32,9999
F27_KNP,F26_KNP,PO,-46.47,,6.65,2.36,2.43,-
F28_KNP,F13_KNP,U,-42.68,,-,1.15,2.88,9999
F28_KNP,F14_KNP,U,-41.15,,-,1.85,5.13,9999
F28_KNP,F15_KNP,U,-45.42,,-,1.04,3.38,9999
F28_KNP,F16_KNP,PO,-35.71,,0.95,0.08,0.92,-
F28_KNP,F17_KNP,U,-48.63,,-,1.23,5.15,9999
F28_KNP,F18_KNP,U,-47.19,,-,2.55,7.31,9999
F28_KNP,F19_KNP,U,-42.93,,-,1.67,4.53,9999
F28_KNP,F20_KNP,U,-43.64,,-,0.73,2.76,9999
F28_KNP,F21_KNP,HS,-42.33,,0.75,-,2.69,9999
F28_KNP,F22_KNP,U,-45.35,,-,1.67,5.09,9999
F28_KNP,F23_KNP,PO,-39.39,,1.79,0.09,0.24,-
F28_KNP,F24_KNP,U,-50.67,,-,3.74,7.31,9999
F28_KNP,F25_KNP,U,-38.51,,-,0.45,2.62,9999
F28_KNP,F26_KNP,U,-50.31,,-,5.23,11.85,9999
