Ind1,Ind2,R,LnL(R),,U,HS,FS,PO
M56_KNP,F22_KNP,U,-42,,-,2.44,6.03,9999
M56_KNP,F23_KNP,HS,-37.69,,0.14,-,1.52,0.33
M56_KNP,F24_KNP,U,-47.31,,-,2.3,6.46,9999
M56_KNP,F25_KNP,HS,-35.13,,0.03,-,1.74,0.43
M56_KNP,F26_KNP,U,-46.96,,-,4,9.6,9999
M56_KNP,F27_KNP,U,-38.97,,-,0.75,2.56,9999
M56_KNP,F28_KNP,PO,-34.51,,1.64,0.58,1.11,-
M56_KNP,F29_KNP,HS,-35.98,,0.01,-,0.77,9999
M56_KNP,F30_KNP,U,-45.19,,-,1.16,4.79,9999
M56_KNP,F31_KNP,U,-44.66,,-,1.13,4.58,9999
M56_KNP,F32_KNP,U,-38.88,,-,1.55,4.46,9999
M56_KNP,F33_KNP,U,-47.99,,-,4.09,8.9,9999
M56_KNP,F34_KNP,U,-44.82,,-,1.64,5.09,9999
M56_KNP,F35_KNP,HS,-36.96,,0.05,-,1.49,0.29
M56_KNP,F36_KNP,U,-35.06,,-,0.73,3.51,9999
M56_KNP,F37_KNP,HS,-43.23,,0.42,-,2.7,9999
M56_KNP,F38_KNP,PO,-29.88,,2.88,1.18,1.22,-
M56_KNP,F40_KNP,FS,-29.04,,2.2,1.01,-,0.36
M56_KNP,F41_KNP,PO,-36.38,,1.07,0.26,0.6,-
M56_KNP,F42_KNP,FS,-28.89,,3.89,1.65,-,0.12
M56_KNP,F43_KNP,PO,-31.1,,2.01,0.87,1.8,-
M56_KNP,F44_KNP,U,-42.64,,-,0.78,3.17,9999
M56_KNP,F45_KNP,PO,-29.74,,3.77,1.62,0.57,-
M56_KNP,F46_KNP,U,-40.75,,-,1.49,4.6,9999
M56_KNP,F47_KNP,HS,-35.9,,0.43,-,0.95,9999
M56_KNP,F48_KNP,U,-41.71,,-,0.58,3.38,1.52
M56_KNP,F49_KNP,U,-44.24,,-,1.95,5.62,9999
M56_KNP,F50_KNP,U,-40.58,,-,0.57,2.07,9999
M56_KNP,F51_KNP,U,-47.02,,-,0.45,2.89,9999
M56_KNP,M33_KNP,U,-40.84,,-,0.05,0.96,9999
M56_KNP,M34_KNP,U,-49.63,,-,1.16,4.05,9999
M56_KNP,M35_KNP,PO,-30.81,,4.1,1.74,0.78,-
M56_KNP,M37_KNP,U,-45.01,,-,3.48,8.53,9999
M56_KNP,M38_KNP,HS,-37.7,,0.74,-,2.01,0.04
M56_KNP,M39_KNP,HS,-38.17,,0.23,-,1.76,9999
M56_KNP,M40_KNP,U,-44.77,,-,2.17,6.43,9999
M56_KNP,M41_KNP,U,-45.31,,-,2.99,7.28,9999
M56_KNP,M42_KNP,HS,-42.89,,0.09,-,1.23,9999
M56_KNP,M43_KNP,U,-42.9,,-,3.15,7.26,9999
M56_KNP,M44_KNP,HS,-42.59,,0.63,-,0.8,9999
M56_KNP,M45_KNP,U,-45.49,,-,1.76,5.4,9999
M56_KNP,M46_KNP,U,-43.17,,-,1.07,4.89,9999
M56_KNP,M47_KNP,U,-45.88,,-,3.31,7.33,9999
M56_KNP,M48_KNP,U,-43.83,,-,1.74,5.52,9999
M56_KNP,M49_KNP,HS,-35.72,,0.16,-,1.37,0.27
M56_KNP,M50_KNP,U,-50.4,,-,2.82,6.66,9999
M56_KNP,M51_KNP,PO,-30.82,,3.84,1.69,1.57,-
M56_KNP,M53_KNP,U,-43.53,,-,2.77,7.2,9999
M56_KNP,M54_KNP,PO,-31.07,,3.39,1.5,1.45,-
M56_KNP,M55_KNP,FS,-41.35,,2.38,1.18,-,9999
M57_KNP,F13_KNP,HS,-42.97,,0.38,-,1.77,9999
M57_KNP,F14_KNP,U,-41.83,,-,2.35,5.92,9999
M57_KNP,F15_KNP,U,-46.1,,-,2.93,7.43,9999
M57_KNP,F16_KNP,HS,-36.66,,0.67,-,1.58,9999
M57_KNP,F17_KNP,U,-49.3,,-,2.28,5.87,9999
M57_KNP,F18_KNP,PO,-45.36,,2.51,0.52,2.03,-
M57_KNP,F19_KNP,HS,-42.46,,1.14,-,0.14,9999
M57_KNP,F20_KNP,U,-44.32,,-,2.87,7.12,9999
M57_KNP,F21_KNP,U,-43.76,,-,1.89,5.15,9999
M57_KNP,F22_KNP,U,-46.03,,-,3.46,8.58,9999
M57_KNP,F23_KNP,U,-41.86,,-,0.44,3.91,9999
M57_KNP,F24_KNP,U,-51.34,,-,2.88,7.59,9999
M57_KNP,F25_KNP,U,-39.19,,-,1.11,2.99,9999
M57_KNP,F26_KNP,U,-50.99,,-,6.04,12.8,9999
M57_KNP,F27_KNP,U,-42.99,,-,0.6,3.96,9999
M57_KNP,F28_KNP,U,-40.18,,-,0.13,2.18,9999
M57_KNP,F29_KNP,HS,-39.5,,0.51,-,0.65,9999
M57_KNP,F30_KNP,U,-49.22,,-,2.11,6.43,9999
M57_KNP,F31_KNP,U,-48.69,,-,2.49,6.73,9999
M57_KNP,F32_KNP,U,-42.91,,-,2.31,5.64,9999
M57_KNP,F33_KNP,U,-52.02,,-,4.54,10.32,9999
M57_KNP,F34_KNP,U,-48.85,,-,2.86,7.72,9999
M57_KNP,F35_KNP,HS,-40.35,,0.69,-,0.77,9999
M57_KNP,F36_KNP,U,-39.09,,-,1.16,3.52,9999
M57_KNP,F37_KNP,HS,-46.22,,1.77,-,2.42,9999
M57_KNP,F38_KNP,HS,-34.89,,1.91,-,0.3,9999
M57_KNP,F40_KNP,FS,-34.14,,1.13,0.46,-,9999
M57_KNP,F41_KNP,HS,-40.55,,0.93,-,1.63,9999
M57_KNP,F42_KNP,FS,-35.19,,1.63,0.25,-,9999
M57_KNP,F43_KNP,U,-37.14,,-,0.64,1.94,9999
M57_KNP,F44_KNP,U,-46.66,,-,2.39,5.65,9999
M57_KNP,F45_KNP,FS,-36.31,,1.23,0.27,-,9999
M57_KNP,F46_KNP,U,-44.78,,-,3.12,7.27,9999
M57_KNP,F47_KNP,HS,-40.23,,0.13,-,1.3,9999
M57_KNP,F48_KNP,U,-45.74,,-,2.53,6.49,9999
M57_KNP,F49_KNP,U,-48.27,,-,2.54,6.73,9999
M57_KNP,F50_KNP,U,-44.61,,-,0.26,3.25,9999
M57_KNP,F51_KNP,U,-51.05,,-,0.45,4.02,9999
M57_KNP,M33_KNP,U,-44.87,,-,1.11,4.64,9999
M57_KNP,M34_KNP,U,-53.66,,-,2.21,5.83,9999
M57_KNP,M35_KNP,FS,-36.07,,2.87,1.29,-,9999
M57_KNP,M37_KNP,U,-49.04,,-,3.22,8.21,9999
M57_KNP,M38_KNP,U,-42.47,,-,1.16,3.34,9999
M57_KNP,M39_KNP,HS,-42.31,,0.12,-,2.07,9999
M57_KNP,M40_KNP,U,-48.8,,-,1.22,4.23,9999
M57_KNP,M41_KNP,U,-49.34,,-,2.6,6.76,9999
M57_KNP,M42_KNP,U,-47.01,,-,0.59,2.99,9999
M57_KNP,M43_KNP,U,-46.93,,-,4.06,9.46,9999
M57_KNP,M44_KNP,U,-47.25,,-,1.18,2.35,9999
M57_KNP,M45_KNP,U,-49.52,,-,3.55,8.13,9999
M57_KNP,M46_KNP,U,-47.2,,-,0.62,4.6,9999
M57_KNP,M47_KNP,U,-49.91,,-,3.9,8.44,9999
M57_KNP,M48_KNP,U,-47.86,,-,2.36,5.93,9999
M57_KNP,M49_KNP,U,-39.91,,-,0.07,1.14,9999
M57_KNP,M50_KNP,U,-54.42,,-,2.8,7.43,9999
M57_KNP,M51_KNP,FS,-35.5,,3.2,0.9,-,9999
M57_KNP,M53_KNP,U,-47.56,,-,2.84,7.45,9999
M57_KNP,M54_KNP,HS,-37.79,,0.69,-,1.46,9999
M57_KNP,M55_KNP,HS,-47.75,,0.01,-,0.34,9999
M57_KNP,M56_KNP,PO,-30.22,,6.6,2.61,0.72,-
M58_KNP,F13_KNP,U,-49.53,,-,3.64,7.79,9999
M58_KNP,F14_KNP,U,-48.01,,-,2.62,7.45,9999
M58_KNP,F15_KNP,HS,-47.66,,4.62,-,1.03,9999
M58_KNP,F16_KNP,U,-43.51,,-,0.18,2.12,9999
M58_KNP,F17_KNP,HS,-53.76,,1.72,-,3.01,9999
M58_KNP,F18_KNP,U,-54.05,,-,1.31,5.75,9999
M58_KNP,F19_KNP,HS,-49.74,,0.04,-,1.14,9999
M58_KNP,F20_KNP,HS,-50.07,,0.43,-,2.49,9999
M58_KNP,F21_KNP,FS,-45.1,,4.84,2.29,-,1.22
M58_KNP,F22_KNP,HS,-51.66,,0.55,-,2.06,9999
M58_KNP,F23_KNP,HS,-47.44,,0.6,-,2.22,0.14
M58_KNP,F24_KNP,HS,-56.08,,1.44,-,2.55,9999
M58_KNP,F25_KNP,U,-45.37,,-,2.39,6.06,9999
M58_KNP,F26_KNP,U,-57.17,,-,2.71,8.43,9999
M58_KNP,F27_KNP,U,-49.17,,-,1.55,5.59,9999
M58_KNP,F28_KNP,HS,-46.27,,0.09,-,2.33,9999
M58_KNP,F29_KNP,U,-46.19,,-,2.06,4.01,9999
M58_KNP,F30_KNP,U,-55.39,,-,1.49,5.46,9999
M58_KNP,F31_KNP,U,-54.86,,-,3.4,8.74,9999
M58_KNP,F32_KNP,U,-49.09,,-,0.04,1.71,9999
M58_KNP,F33_KNP,U,-58.2,,-,3.47,7.87,9999
M58_KNP,F34_KNP,U,-55.03,,-,1.62,5.94,9999
M58_KNP,F35_KNP,U,-47.21,,-,1.4,4.35,9999
M58_KNP,F36_KNP,U,-45.27,,-,0.24,2.59,9999
M58_KNP,F37_KNP,U,-54.17,,-,4.05,9.76,9999
M58_KNP,F38_KNP,U,-42.97,,-,2.27,4.88,9999
M58_KNP,F40_KNP,U,-41.44,,-,1.71,2.66,9999
M58_KNP,F41_KNP,U,-47.66,,-,0.09,2.37,9999
M58_KNP,F42_KNP,U,-42.99,,-,1.8,4.13,9999
M58_KNP,F43_KNP,U,-43.32,,-,1.68,3.97,9999
M58_KNP,F44_KNP,U,-52.84,,-,2.41,6.64,9999
M58_KNP,F45_KNP,U,-43.72,,-,2.05,4.6,9999
M58_KNP,F46_KNP,HS,-50.05,,0.91,-,2.49,9999
M58_KNP,F47_KNP,U,-46.54,,-,1.57,4.92,9999
M58_KNP,F48_KNP,U,-51.91,,-,0.7,3.59,9999
M58_KNP,F49_KNP,U,-54.45,,-,0.57,3.25,9999
M58_KNP,F50_KNP,HS,-49.91,,0.88,-,0.84,9999
M58_KNP,F51_KNP,U,-57.23,,-,1.66,6.38,9999
M58_KNP,M33_KNP,HS,-50.95,,0.1,-,3.49,9999
M58_KNP,M34_KNP,U,-59.84,,-,0.38,2.06,9999
M58_KNP,M35_KNP,U,-45.11,,-,0.77,2.76,9999
M58_KNP,M37_KNP,U,-55.22,,-,2.77,8.13,9999
M58_KNP,M38_KNP,U,-48.65,,-,0.88,4.52,9999
M58_KNP,M39_KNP,U,-48.61,,-,4.83,10.58,9999
M58_KNP,M40_KNP,PO,-52.51,,2.47,0.74,3.31,-
M58_KNP,M41_KNP,HS,-54.96,,0.55,-,2.25,9999
M58_KNP,M42_KNP,U,-53.19,,-,2.66,5.56,9999
M58_KNP,M43_KNP,HS,-48.79,,1.36,-,0.96,9999
M58_KNP,M44_KNP,U,-53.43,,-,3.57,7.97,9999
M58_KNP,M45_KNP,U,-55.7,,-,1.12,5.63,9999
M58_KNP,M46_KNP,U,-53.38,,-,0.5,4.23,9999
M58_KNP,M47_KNP,U,-56.09,,-,0.5,4.31,9999
M58_KNP,M48_KNP,U,-54.03,,-,1.08,4.58,9999
M58_KNP,M49_KNP,HS,-45.73,,0.36,-,1.87,9999
M58_KNP,M50_KNP,U,-60.6,,-,0.83,3.95,9999
M58_KNP,M51_KNP,U,-44.87,,-,0.42,2.28,9999
M58_KNP,M53_KNP,U,-53.74,,-,0.67,4.76,9999
M58_KNP,M54_KNP,U,-44.66,,-,1.28,3.44,9999
M58_KNP,M55_KNP,U,-53.94,,-,2.63,5.49,9999
M58_KNP,M56_KNP,U,-43.01,,-,1.93,4.38,9999
M58_KNP,M57_KNP,U,-47.03,,-,1.54,4.11,9999
M61_KNP,F13_KNP,U,-52.59,,-,0.09,1.65,9999
M61_KNP,F14_KNP,U,-51.07,,-,1.76,5.61,9999
M61_KNP,F15_KNP,U,-55.33,,-,3.12,7.72,9999
M61_KNP,F16_KNP,U,-46.56,,-,2.59,6.13,9999
M61_KNP,F17_KNP,U,-58.54,,-,2.13,5.41,9999
M61_KNP,F18_KNP,U,-57.11,,-,1.05,3.67,9999
M61_KNP,F19_KNP,U,-52.84,,-,1.72,4.29,9999
M61_KNP,F20_KNP,U,-53.55,,-,0.2,2.05,9999
M61_KNP,F21_KNP,U,-53,,-,2.2,5.51,9999
M61_KNP,F22_KNP,HS,-55.25,,0.01,-,1.85,9999
M61_KNP,F23_KNP,U,-51.1,,-,1.59,5.81,9999
M61_KNP,F24_KNP,U,-60.58,,-,0.66,3.33,9999
M61_KNP,F25_KNP,U,-48.43,,-,0.58,2.64,9999
M61_KNP,F26_KNP,U,-60.22,,-,0.76,3.18,9999
M61_KNP,F27_KNP,U,-52.23,,-,1.55,4.56,9999
M61_KNP,F28_KNP,U,-49.42,,-,2.66,6.9,9999
M61_KNP,F29_KNP,U,-49.25,,-,0.14,1.02,9999
M61_KNP,F30_KNP,U,-58.45,,-,1.91,5.66,9999
M61_KNP,F31_KNP,U,-57.92,,-,1.67,6.07,9999
M61_KNP,F32_KNP,U,-52.15,,-,2.51,5.9,9999
M61_KNP,F33_KNP,U,-61.25,,-,0.76,3.32,9999
M61_KNP,F34_KNP,U,-58.09,,-,1.17,3.8,9999
M61_KNP,F35_KNP,U,-50.27,,-,1.73,5.28,9999
M61_KNP,F36_KNP,HS,-48.06,,0.26,-,1.45,9999
M61_KNP,F37_KNP,HS,-55.93,,0.99,-,0.9,9999
M61_KNP,F38_KNP,U,-46.03,,-,1.32,2.44,9999
M61_KNP,F40_KNP,U,-44.5,,-,1.43,4.21,9999
M61_KNP,F41_KNP,U,-50.72,,-,1.09,4.54,9999
M61_KNP,F42_KNP,U,-46.05,,-,0.81,2.67,9999
M61_KNP,F43_KNP,U,-46.38,,-,2.94,6.56,9999
M61_KNP,F44_KNP,U,-55.9,,-,3.68,7.71,9999
M61_KNP,F45_KNP,U,-46.77,,-,2.46,5.03,9999
M61_KNP,F46_KNP,U,-54.02,,-,2.46,6.86,9999
M61_KNP,F47_KNP,U,-49.59,,-,2.61,6.35,9999
M61_KNP,F48_KNP,U,-54.97,,-,3.64,8.62,9999
M61_KNP,F49_KNP,U,-57.51,,-,3.87,8.89,9999
M61_KNP,F50_KNP,U,-53.84,,-,3.57,8.89,9999
M61_KNP,F51_KNP,U,-60.29,,-,0.4,1.6,9999
M61_KNP,M33_KNP,U,-54.1,,-,1.75,5.33,9999
M61_KNP,M34_KNP,U,-62.9,,-,3.15,8.17,9999
M61_KNP,M35_KNP,U,-48.17,,-,1.55,3.66,9999
M61_KNP,M37_KNP,U,-58.28,,-,1.03,3.65,9999
M61_KNP,M38_KNP,U,-51.71,,-,0.14,2.31,9999
M61_KNP,M39_KNP,HS,-51.25,,0.42,-,1.32,9999
M61_KNP,M40_KNP,U,-58.04,,-,4.17,9.63,9999
M61_KNP,M41_KNP,U,-58.58,,-,3.1,7.56,9999
M61_KNP,M42_KNP,U,-56.24,,-,1.66,5.05,9999
M61_KNP,M43_KNP,U,-54.18,,-,1.09,3.54,9999
M61_KNP,M44_KNP,U,-56.48,,-,2.77,5.86,9999
M61_KNP,M45_KNP,U,-58.76,,-,3.19,7.45,9999
M61_KNP,M46_KNP,U,-56.43,,-,2.15,5.02,9999
M61_KNP,M47_KNP,U,-59.14,,-,2.65,7.67,9999
M61_KNP,M48_KNP,U,-57.09,,-,3,8.01,9999
M61_KNP,M49_KNP,U,-49.15,,-,1.49,5.41,9999
M61_KNP,M50_KNP,U,-63.66,,-,1.46,3.94,9999
M61_KNP,M51_KNP,U,-47.93,,-,2.04,5.2,9999
M61_KNP,M53_KNP,U,-56.8,,-,3.17,8.13,9999
M61_KNP,M54_KNP,U,-47.72,,-,1.68,4.73,9999
M61_KNP,M55_KNP,U,-57,,-,2.32,4.84,9999
M61_KNP,M56_KNP,HS,-46.01,,0.05,-,0.59,9999
M61_KNP,M57_KNP,HS,-49.95,,0.14,-,1.5,9999
M61_KNP,M58_KNP,U,-56.27,,-,4.31,9.44,9999
M62_KNP,F13_KNP,U,-45.22,,-,2.51,6.71,9999
M62_KNP,F14_KNP,U,-43.69,,-,1.8,5.07,9999
M62_KNP,F15_KNP,U,-47.96,,-,3.36,7.92,9999
M62_KNP,F16_KNP,FS,-37.27,,1.92,0.66,-,0.4
M62_KNP,F17_KNP,U,-51.17,,-,1.15,3.18,9999
M62_KNP,F18_KNP,U,-49.73,,-,2.33,6.36,9999
M62_KNP,F19_KNP,U,-45.47,,-,0.72,3.88,9999
M62_KNP,F20_KNP,U,-46.18,,-,3.44,7.95,9999
M62_KNP,F21_KNP,HS,-45.45,,0.18,-,2.03,9999
M62_KNP,F22_KNP,U,-47.89,,-,0.61,3.59,9999
M62_KNP,F23_KNP,FS,-41.4,,2.33,0.88,-,0.5
M62_KNP,F24_KNP,HS,-52.4,,0.8,-,2.34,9999
M62_KNP,F25_KNP,U,-41.05,,-,1.18,4.4,9999
M62_KNP,F26_KNP,U,-52.85,,-,5.64,11.92,9999
M62_KNP,F27_KNP,U,-44.86,,-,3.49,8.22,9999
M62_KNP,F28_KNP,HS,-41.16,,0.89,-,0.66,0.26
M62_KNP,F29_KNP,U,-41.87,,-,2.35,6.34,9999
M62_KNP,F30_KNP,U,-51.08,,-,1.31,4.49,9999
M62_KNP,F31_KNP,U,-50.55,,-,1.88,6.39,9999
M62_KNP,F32_KNP,U,-44.77,,-,1.04,3.63,9999
M62_KNP,F33_KNP,U,-53.88,,-,4.38,10.16,9999
M62_KNP,F34_KNP,U,-50.71,,-,3.05,8.06,9999
M62_KNP,F35_KNP,U,-42.9,,-,1.07,4.63,9999
M62_KNP,F36_KNP,U,-40.95,,-,0.68,2.39,9999
M62_KNP,F37_KNP,U,-49.11,,-,4.51,10.37,9999
M62_KNP,F38_KNP,U,-38.65,,-,0.26,2.19,9999
M62_KNP,F40_KNP,HS,-36.97,,0.16,-,2.17,0.23
M62_KNP,F41_KNP,U,-43.35,,-,0.64,2.16,9999
M62_KNP,F42_KNP,PO,-37.36,,1.32,0.28,0.83,-
M62_KNP,F43_KNP,PO,-35.13,,3.87,1.58,1.62,-
M62_KNP,F44_KNP,HS,-47.37,,1.16,-,2.08,9999
M62_KNP,F45_KNP,PO,-36.22,,3.18,1.07,0.47,-
M62_KNP,F46_KNP,U,-46.64,,-,2.25,6.22,9999
M62_KNP,F47_KNP,HS,-40.98,,1.24,-,0.17,9999
M62_KNP,F48_KNP,U,-47.6,,-,1.19,3.78,9999
M62_KNP,F49_KNP,U,-50.14,,-,0.34,1.49,9999
M62_KNP,F50_KNP,U,-46.47,,-,0.04,1.83,9999
M62_KNP,F51_KNP,U,-52.92,,-,0.89,3.2,9999
M62_KNP,M33_KNP,PO,-45.36,,1.37,0.29,1.92,-
M62_KNP,M34_KNP,U,-55.53,,-,1.34,4.23,9999
M62_KNP,M35_KNP,PO,-37.17,,3.63,1.32,1.19,-
M62_KNP,M37_KNP,U,-50.9,,-,2.35,6.78,9999
M62_KNP,M38_KNP,HS,-44.15,,0.18,-,1.27,9999
M62_KNP,M39_KNP,U,-44.3,,-,2.39,6.21,9999
M62_KNP,M40_KNP,HS,-50.36,,0.31,-,2.35,9999
M62_KNP,M41_KNP,U,-51.2,,-,3.09,7.46,9999
M62_KNP,M42_KNP,U,-48.87,,-,1.46,4.44,9999
M62_KNP,M43_KNP,U,-48.79,,-,3.63,8.76,9999
M62_KNP,M44_KNP,U,-49.11,,-,0.91,3.49,9999
M62_KNP,M45_KNP,U,-51.39,,-,2.65,6.06,9999
M62_KNP,M46_KNP,HS,-48.87,,0.19,-,2.17,9999
M62_KNP,M47_KNP,U,-51.77,,-,3.48,8.74,9999
M62_KNP,M48_KNP,U,-49.72,,-,1.75,5.06,9999
M62_KNP,M49_KNP,U,-41.77,,-,0.14,2.87,1
M62_KNP,M50_KNP,U,-56.29,,-,3.26,8.51,9999
M62_KNP,M51_KNP,HS,-38.95,,1.61,-,0.33,9999
M62_KNP,M53_KNP,U,-49.42,,-,1.19,5.06,9999
M62_KNP,M54_KNP,HS,-39.01,,1.34,-,0.34,9999
M62_KNP,M55_KNP,PO,-48,,1.63,0.51,2.42,-
M62_KNP,M56_KNP,PO,-37.82,,0.88,0.24,1.46,-
M62_KNP,M57_KNP,U,-42.72,,-,0.56,3.32,9999
M62_KNP,M58_KNP,U,-48.9,,-,0.14,3.04,9999
M62_KNP,M61_KNP,U,-51.96,,-,3.62,8.37,9999
M63_KNP,F13_KNP,U,-69.92,,-,2.37,8.07,9999
M63_KNP,F14_KNP,U,-68.4,,-,2.54,7.74,9999
M63_KNP,F15_KNP,U,-72.67,,-,6.13,13.51,9999
M63_KNP,F16_KNP,U,-63.9,,-,4.15,9.76,9999
M63_KNP,F17_KNP,U,-75.87,,-,2.98,8.45,9999
M63_KNP,F18_KNP,HS,-71.53,,2.91,-,2.72,9999
M63_KNP,F19_KNP,U,-70.17,,-,4.18,10.21,9999
M63_KNP,F20_KNP,U,-70.89,,-,4.32,10.82,9999
M63_KNP,F21_KNP,U,-70.33,,-,1.89,7.34,9999
M63_KNP,F22_KNP,U,-72.6,,-,0.35,4.19,9999
M63_KNP,F23_KNP,U,-68.43,,-,2.04,7.42,9999
M63_KNP,F24_KNP,U,-77.91,,-,1.34,3.71,9999
M63_KNP,F25_KNP,U,-65.76,,-,5.06,11.1,9999
M63_KNP,F26_KNP,U,-77.56,,-,1.47,4.64,9999
M63_KNP,F27_KNP,U,-69.56,,-,3.14,8.61,9999
M63_KNP,F28_KNP,U,-66.75,,-,3.98,10.11,9999
M63_KNP,F29_KNP,U,-66.58,,-,6.07,12.75,9999
M63_KNP,F30_KNP,U,-75.79,,-,4.29,10.11,9999
M63_KNP,F31_KNP,U,-75.26,,-,4.12,10.56,9999
M63_KNP,F32_KNP,U,-69.48,,-,5.74,12.83,9999
M63_KNP,F33_KNP,U,-78.59,,-,2.46,7.79,9999
M63_KNP,F34_KNP,HS,-75.4,,0.02,-,4.07,9999
M63_KNP,F35_KNP,U,-67.61,,-,6.3,13.66,9999
M63_KNP,F36_KNP,U,-65.66,,-,1.7,6.53,9999
M63_KNP,F37_KNP,U,-73.29,,-,1.96,5.66,9999
M63_KNP,F38_KNP,U,-63.36,,-,3,7.02,9999
M63_KNP,F40_KNP,U,-61.83,,-,5.26,12.02,9999
M63_KNP,F41_KNP,U,-68.05,,-,1.11,6.17,9999
M63_KNP,F42_KNP,U,-63.38,,-,4.97,11.62,9999
M63_KNP,F43_KNP,U,-63.71,,-,4.3,10.71,9999
M63_KNP,F44_KNP,U,-73.23,,-,5.04,11.86,9999
M63_KNP,F45_KNP,U,-64.11,,-,4.93,11.58,9999
M63_KNP,F46_KNP,U,-71.35,,-,3.57,9.58,9999
M63_KNP,F47_KNP,U,-66.93,,-,4.19,10.44,9999
M63_KNP,F48_KNP,U,-72.31,,-,4.77,11.43,9999
M63_KNP,F49_KNP,U,-74.84,,-,3.43,9.47,9999
M63_KNP,F50_KNP,U,-71.18,,-,3.73,9.92,9999
M63_KNP,F51_KNP,HS,-74.11,,3.51,-,1.82,9999
M63_KNP,M33_KNP,HS,-70.02,,1.42,-,2.68,0.62
M63_KNP,M34_KNP,U,-80.23,,-,1.76,6.99,9999
M63_KNP,M35_KNP,U,-65.51,,-,5.74,12.83,9999
M63_KNP,M37_KNP,U,-75.61,,-,2.52,7.8,9999
M63_KNP,M38_KNP,U,-69.04,,-,0.47,3.73,9999
M63_KNP,M39_KNP,U,-69.01,,-,1.96,6.23,9999
M63_KNP,M40_KNP,HS,-73.91,,1.46,-,3.33,9999
M63_KNP,M41_KNP,HS,-75.72,,0.19,-,3.84,9999
M63_KNP,M42_KNP,U,-73.58,,-,3.09,8.56,9999
M63_KNP,M43_KNP,U,-71.51,,-,1.33,5.65,9999
M63_KNP,M44_KNP,U,-73.82,,-,6.16,13.56,9999
M63_KNP,M45_KNP,U,-76.09,,-,4.2,10.33,9999
M63_KNP,M46_KNP,U,-73.77,,-,0.33,1.21,9999
M63_KNP,M47_KNP,U,-76.48,,-,2.64,7.7,9999
M63_KNP,M48_KNP,U,-74.43,,-,5.05,11.65,9999
M63_KNP,M49_KNP,U,-66.48,,-,5,11.7,9999
M63_KNP,M50_KNP,HS,-77.78,,3.21,-,3.72,9999
M63_KNP,M51_KNP,U,-65.26,,-,6.14,13.53,9999
M63_KNP,M53_KNP,HS,-73.83,,0.3,-,3.68,9999
M63_KNP,M54_KNP,U,-65.05,,-,5.31,12.25,9999
M63_KNP,M55_KNP,U,-74.33,,-,5.64,12.7,9999
M63_KNP,M56_KNP,U,-63.4,,-,2.96,8.68,9999
M63_KNP,M57_KNP,U,-67.43,,-,4.47,11.27,9999
M63_KNP,M58_KNP,U,-73.61,,-,3.22,9.25,9999
M63_KNP,M61_KNP,U,-76.66,,-,2.23,5.24,9999
M63_KNP,M62_KNP,U,-69.29,,-,1.01,5.23,9999
M65_KNP,F13_KNP,U,-51.73,,-,0.81,2.64,9999
M65_KNP,F14_KNP,U,-50.21,,-,4.26,9.56,9999
M65_KNP,F15_KNP,U,-54.47,,-,1.35,3.94,9999
M65_KNP,F16_KNP,U,-45.7,,-,2.18,6.3,9999
M65_KNP,F17_KNP,U,-57.68,,-,1.09,2.59,9999
M65_KNP,F18_KNP,U,-56.25,,-,3.78,8.96,9999
M65_KNP,F19_KNP,U,-51.98,,-,2.54,6.67,9999
M65_KNP,F20_KNP,U,-52.69,,-,1.59,3.79,9999
M65_KNP,F21_KNP,U,-52.14,,-,0.7,3.54,9999
M65_KNP,F22_KNP,HS,-54.2,,0.2,-,0.98,9999
M65_KNP,F23_KNP,U,-50.24,,-,0.94,3.18,9999
M65_KNP,F24_KNP,HS,-56.73,,2.98,-,1.7,9999
M65_KNP,F25_KNP,U,-47.56,,-,2.3,5.55,9999
M65_KNP,F26_KNP,HS,-58.4,,0.96,-,2.82,9999
M65_KNP,F27_KNP,U,-51.37,,-,1.81,5.32,9999
M65_KNP,F28_KNP,U,-48.55,,-,2.83,6.8,9999
M65_KNP,F29_KNP,U,-48.39,,-,1.55,5.74,9999
M65_KNP,F30_KNP,U,-57.59,,-,2.97,7.16,9999
M65_KNP,F31_KNP,U,-57.06,,-,1.39,4.34,9999
M65_KNP,F32_KNP,U,-51.29,,-,3.17,8.11,9999
M65_KNP,F33_KNP,HS,-60.13,,0.27,-,1.55,9999
M65_KNP,F34_KNP,U,-57.22,,-,1.82,5.04,9999
M65_KNP,F35_KNP,U,-49.41,,-,0.78,2.85,9999
M65_KNP,F36_KNP,U,-47.46,,-,1.49,3.78,9999
M65_KNP,F37_KNP,U,-56.05,,-,0.59,3.98,9999
M65_KNP,F38_KNP,U,-45.17,,-,3.3,8.16,9999
M65_KNP,F40_KNP,U,-43.64,,-,2.58,7.02,9999
M65_KNP,F41_KNP,HS,-49.11,,0.74,-,1.25,9999
M65_KNP,F42_KNP,U,-45.19,,-,2.02,6.31,9999
M65_KNP,F43_KNP,U,-45.52,,-,3.44,8.35,9999
M65_KNP,F44_KNP,U,-55.04,,-,4.38,9.93,9999
M65_KNP,F45_KNP,U,-45.91,,-,2,6.28,9999
M65_KNP,F46_KNP,HS,-52.97,,0.18,-,0.97,9999
M65_KNP,F47_KNP,U,-48.73,,-,3.85,8.94,9999
M65_KNP,F48_KNP,U,-54.11,,-,2,6.23,9999
M65_KNP,F49_KNP,U,-56.65,,-,1.02,3.44,9999
