train_x,train_loss
0,105937.91295703125
1,31634.60520638021
2,19515.687013346353
3,13373.469989908854
4,10965.584777913411
5,9419.75763264974
6,8720.805348632812
7,7819.262870930989
8,7902.95123445638
9,7712.4552757161455
10,6944.1475041097
11,6810.242445475261
12,6953.553105143229
13,6711.096284261068
14,6708.779876302084
15,6313.734795613606
16,6621.515320597331
17,5946.103056803386
18,6045.29910538737
19,6052.453345662435
