pred,estimate
330.09686279296875,450
397.7403869628906,450
440.617919921875,450
553.3516845703125,450
520.2653198242188,450
342.700439453125,450
557.6734008789062,450
427.23187255859375,450
439.7391662597656,450
438.34539794921875,450
485.8035888671875,450
539.632568359375,450
451.1208190917969,450
558.9302368164062,450
422.10540771484375,450
354.82440185546875,450
461.50189208984375,450
398.88629150390625,450
428.4376220703125,450
327.4024658203125,450
454.64544677734375,450
426.118896484375,450
569.9200439453125,450
451.65576171875,450
539.0654907226562,450
353.36883544921875,450
482.4384765625,450
361.414794921875,450
458.9098205566406,450
444.3177795410156,450
457.000732421875,450
389.2120666503906,450
462.82421875,450
433.9248352050781,450
473.8441467285156,450
505.9403076171875,450
560.9720458984375,450
399.7344970703125,450
474.1158447265625,450
375.0014953613281,450
267.6912536621094,450
342.9775695800781,450
420.4569091796875,450
387.2120361328125,450
395.5767822265625,450
459.51507568359375,450
508.3924865722656,450
446.8868408203125,450
453.78472900390625,450
519.937255859375,450
417.69366455078125,450
446.4727783203125,450
363.71539306640625,450
476.275634765625,450
324.0530700683594,450
417.6596984863281,450
506.8676452636719,450
467.65460205078125,450
474.1010437011719,450
552.165771484375,450
474.0469665527344,450
604.741455078125,450
623.9143676757812,450
613.4097900390625,450
619.3515625,450
450.7278137207031,450
381.1058044433594,450
382.6261291503906,450
442.5582275390625,450
444.9953308105469,450
426.9100646972656,450
534.321044921875,450
554.5324096679688,450
429.3431091308594,450
579.691162109375,450
462.544677734375,450
477.6189880371094,450
511.7694396972656,450
420.1596984863281,450
662.3492431640625,450
577.6575317382812,450
396.74713134765625,450
425.3721618652344,450
472.18487548828125,450
506.2162780761719,450
394.1535339355469,450
417.1883850097656,450
410.1368103027344,450
489.3516540527344,450
540.2312622070312,450
485.96612548828125,450
394.38623046875,450
535.219482421875,450
418.49578857421875,450
385.4418640136719,450
446.9867858886719,450
460.2978820800781,450
377.9497985839844,450
476.2382507324219,450
357.7732849121094,450
469.08587646484375,450
466.8747253417969,450
502.6303405761719,450
498.7657165527344,450
387.719970703125,450
460.33331298828125,450
453.05181884765625,450
493.5866394042969,450
511.25128173828125,450
484.06427001953125,450
524.0028076171875,450
505.5803527832031,450
398.1773376464844,450
422.1509704589844,450
454.0923767089844,450
364.9781494140625,450
446.7732238769531,450
441.2594909667969,450
415.0859069824219,450
318.64208984375,450
419.24822998046875,450
461.0872802734375,450
483.0217590332031,450
490.1534729003906,450
349.4210205078125,450
403.33099365234375,450
391.07977294921875,450
303.7602233886719,450
442.12445068359375,450
535.5267944335938,450
459.1609802246094,450
497.1275329589844,450
430.6161193847656,450
385.6204833984375,450
695.1189575195312,450
346.13690185546875,450
481.7022705078125,450
422.2567138671875,450
417.01312255859375,450
482.3847961425781,450
500.15765380859375,450
520.0435791015625,450
543.080078125,450
454.42889404296875,450
388.3127136230469,450
440.6016845703125,450
394.4524230957031,450
504.43438720703125,450
422.7457275390625,450
402.41650390625,450
445.5022277832031,450
374.0699768066406,450
472.23699951171875,450
371.8092956542969,450
519.0759887695312,450
399.9731750488281,450
479.1642150878906,450
486.53955078125,450
410.85064697265625,450
572.2290649414062,450
473.3018493652344,450
500.0785217285156,450
344.690185546875,450
357.0996398925781,450
