Ind1,Ind2,R,slim_days1,x1,y1,slim_days2,x2,y2
F22_KNP,F21_KNP,PO,152,18.535396605551956,30.737591468522588,152,18.570616795132626,30.711641335581515
F23_KNP,F21_KNP,PO,152,18.572470899093783,30.71534846565453,152,18.570616795132626,30.711641335581515
F23_KNP,F22_KNP,PO,152,18.572470899093783,30.71534846565453,152,18.535396605551956,30.737591468522588
F25_KNP,F16_KNP,PO,152,18.644766494456302,30.707934205508515,132,37.208050903686534,29.532762183574317
F27_KNP,F13_KNP,PO,194,31.848908551536656,35.4883262014975,126,20.302003988150027,28.911811723912635
F27_KNP,F26_KNP,PO,194,31.848908551536656,35.4883262014975,194,31.917495938977257,35.508715583721546
F28_KNP,F16_KNP,PO,194,31.77475885221298,35.566176711535704,132,37.208050903686534,29.532762183574317
F28_KNP,F23_KNP,PO,194,31.77475885221298,35.566176711535704,152,18.572470899093783,30.71534846565453
F29_KNP,F15_KNP,PO,194,31.72656215938464,35.65700234365197,132,37.19507440043886,29.564273067232392
F31_KNP,F30_KNP,PO,194,31.331716984712898,36.00732963882391,194,31.32615578506945,36.0091831482529
F32_KNP,F15_KNP,PO,194,31.268689684675735,36.261270551162596,132,37.19507440043886,29.564273067232392
F32_KNP,F29_KNP,PO,194,31.268689684675735,36.261270551162596,194,31.72656215938464,35.65700234365197
F34_KNP,F20_KNP,PO,274,23.345092432946753,43.77718122028023,135,36.71125003147464,29.831189101649127
F36_KNP,F20_KNP,PO,274,23.33730675344608,43.837237328023996,135,36.71125003147464,29.831189101649127
F36_KNP,F25_KNP,PO,274,23.33730675344608,43.837237328023996,152,18.644766494456302,30.707934205508515
F38_KNP,F14_KNP,PO,174,29.363052310995677,44.350309223775575,132,37.19692850440002,29.556858807086385
F38_KNP,F28_KNP,PO,174,29.363052310995677,44.350309223775575,194,31.77475885221298,35.566176711535704
F40_KNP,F16_KNP,PO,174,29.34451460810495,44.289140965888414,132,37.208050903686534,29.532762183574317
F40_KNP,F28_KNP,PO,174,29.34451460810495,44.289140965888414,194,31.77475885221298,35.566176711535704
F40_KNP,F29_KNP,PO,174,29.34451460810495,44.289140965888414,194,31.72656215938464,35.65700234365197
F40_KNP,F32_KNP,PO,174,29.34451460810495,44.289140965888414,194,31.268689684675735,36.261270551162596
F41_KNP,F35_KNP,PO,174,29.292609707354295,44.27801946445438,274,23.41071458873721,43.88505978419031
F42_KNP,F16_KNP,PO,239,10.24364793743831,22.19627836718737,132,37.208050903686534,29.532762183574317
F42_KNP,F29_KNP,PO,239,10.24364793743831,22.19627836718737,194,31.72656215938464,35.65700234365197
F43_KNP,F16_KNP,PO,239,10.225110234547582,22.18515686575334,132,37.208050903686534,29.532762183574317
F43_KNP,F28_KNP,PO,239,10.225110234547582,22.18515686575334,194,31.77475885221298,35.566176711535704
F43_KNP,F40_KNP,PO,239,10.225110234547582,22.18515686575334,174,29.34451460810495,44.289140965888414
F43_KNP,F42_KNP,PO,239,10.225110234547582,22.18515686575334,239,10.24364793743831,22.19627836718737
F44_KNP,F43_KNP,PO,239,10.093495547070212,22.062820349979006,239,10.225110234547582,22.18515686575334
