x,y,nsampled
6.120273613204736,14.213814956102635,8
6.120273613204736,15.229444657427848,3
8.162032037364348,18.276333761403535,15
9.182911249444352,8.120036748151266,9
9.182911249444352,21.32322286537923,2
10.20379046152396,24.37011196935492,2
10.203790461524356,5.073147644175569,2
10.203790461524356,22.338852566704464,10
11.224669673603964,5.073147644175569,1
11.224669673603964,23.35448226802968,1
11.224669673603964,24.37011196935492,1
12.245548885684363,30.463890177306283,2
14.28730730984437,20.307593164054005,1
14.28730730984437,31.47951987863152,4
14.28730730984437,40.620187190558575,11
14.28730730984516,25.385741670680147,2
15.30818652192477,44.68270599585948,2
16.32906573400359,41.6358168918838,10
16.329065734004377,42.65144659320904,10
17.349944946084776,24.370111969354923,5
17.349944946084776,41.6358168918838,1
17.349944946084776,42.651446593209045,1
17.349944946084776,43.66707629453427,2
17.349944946084776,47.72959509983516,9
18.370824158164385,24.37011196935492,1
18.370824158164385,30.463890177306283,5
18.370824158164385,42.65144659320904,1
19.39170337024399,48.745224801160404,1
19.39170337024399,52.807743606461315,2
19.39170337024399,53.82337330778655,6
19.391703370244784,54.839003009111785,4
20.41258258232439,28.432630774655824,10
20.412582582325182,12.182555553452163,5
20.412582582325182,29.448260475981062,3
21.43346179440321,51.792113905136105,4
21.433461794404,5.073147644175576,17
21.433461794404,6.088777345500809,4
21.433461794404,8.120036748151266,5
23.475220218563216,43.667076294534255,11
24.496099430644012,31.47951987863152,1
24.4960994306448,49.76085450248563,5
25.516978642724016,31.47951987863152,2
28.579616278964025,44.68270599585949,2
29.60049549104363,43.667076294534255,17
30.621374703124033,36.55766838525766,1
30.621374703124033,42.65144659320904,6
31.64225391520364,35.54203868393243,8
31.642253915204435,36.55766838525766,2
33.68401233936365,27.4170010733306,4
33.68401233936365,33.51077928128197,2
35.725770763523656,28.432630774655824,1
35.72577076352445,32.49514957995675,4
36.74664997560406,29.448260475981062,8
